echelle;categorie;type;annee;valeur;sau_ha;ugb;etp;pbs;otefdd_coef17
Pays d'Hasparren;Otex;bovins lait;2020;35;1387,89;2863,414;59,0554762;3732,96962;4500
Pays d'Hasparren;Otex;fruits ou autres cultures permanentes;2020;4;46,76;0;2,75;95,78465;3900
Pays d'Hasparren;Otex;porcins;2020;-999;-999;-999;-999;-999;5100
Pays d'Hasparren;Otex;bovins viande;2020;90;2399,61;3171,107;75,6538889;2534,22944;4600
Pays d'Hasparren;Otex;équidés et/ou autres herbivores;2020;32;660,37;1320,458;29,375;1459,7812;4840
Pays d'Hasparren;Otex;volailles;2020;9;273,06;797,642;13,0527778;1453,18316;5200
Soule Xiberoa;Otex;fleurs et/ou horticulture diverse;2010;3;-999;-999;3,1592796;165,20201;2900
Soule Xiberoa;Otex;céréales et/ou oléoprotéagineux;2010;22;386,46;-999;8,6708515;317,32692;1500
Soule Xiberoa;Otex;autres grandes cultures;2010;23;342,33;0,546;14,9014592;39,35405;1600
Soule Xiberoa;Otex;légumes ou champignons;2010;3;10,82;0;2,875;109,63248;2800
Soule Xiberoa;Otex;bovins viande;2010;175;5136,31;6991,73;172,3565555;5748,64561;4600
Soule Xiberoa;Otex;équidés et/ou autres herbivores;2010;51;1196,91;1947,353;44,9284826;2000,78648;4840
Soule Xiberoa;Otex;combinaisons de granivores (porcins, volailles);2010;8;146,97;240,957;13,0262009;339,06005;5374
Soule Xiberoa;Otex;bovins lait;2010;9;456,05;774,757;16,1549496;1146,48703;4500
Soule Xiberoa;Otex;ovins ou caprins;2010;396;14784,29;26825,025;626,3923436;28517,64948;4813
Soule Xiberoa;Otex;porcins;2010;-999;-999;-999;-999;-999;5100
Soule Xiberoa;Otex;polyculture et/ou polyélevage;2010;37;866,16;1205,892;45,8138673;2325,1782;6184
Soule Xiberoa;Otex;non classées;2010;-999;-999;0;-999;-999;9000
Soule Xiberoa;Otex;fruits ou autres cultures permanentes;2010;3;72,12;-999;3,9186681;321,60773;3900
Soule Xiberoa;Otex;bovins mixtes;2010;3;164,74;311,652;4,3870087;316,80628;4700
Soule Xiberoa;Otex;volailles;2010;10;129,45;254,502;9,2123362;879,262076;5200
Soule Xiberoa;Otex;fruits ou autres cultures permanentes;2020;3;-999;-999;3,125;197,11864;3900
Soule Xiberoa;Otex;bovins lait;2020;6;328,72;544,65;10,9723016;790,86665;4500
Soule Xiberoa;Otex;céréales et/ou oléoprotéagineux;2020;20;504,65;60,64;15,4952381;482,05288;1500
